Tue Mar 16 22:07:46 2021    profile_renderer.dat

         592 function calls (587 primitive calls) in 0.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.015    0.015    0.015    0.015 {method 'Render' of 'vtkmodules.vtkRenderingOpenGL2.vtkXOpenGLRenderWindow' objects}
        1    0.014    0.014    0.059    0.059 /p/home/jusers/sestini1/shared/hackaton_code/vtk_robot/project_module/vtk_render.py:119(project_3Dshape)
        1    0.014    0.014    0.014    0.014 {method 'Update' of 'vtkmodules.vtkCommonExecutionModel.vtkAlgorithm' objects}
        3    0.006    0.002    0.006    0.002 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.004    0.004    0.004    0.004 {method 'repeat' of 'numpy.ndarray' objects}
    24/22    0.003    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.001    0.001    0.001    0.001 {method 'astype' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.060    0.060 <string>:1(<module>)
        6    0.001    0.000    0.001    0.000 {method 'Update' of 'vtkmodules.vtkRenderingCore.vtkPolyDataMapper' objects}
        5    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 {flip}
        1    0.000    0.000    0.000    0.000 /p/software/juwelsbooster/stages/2020/software/SciPy-Stack/2020-gcccoremkl-9.3.0-2020.2.254-Python-3.8.5/lib/python3.8/site-packages/numpy-1.19.1-py3.8-linux-x86_64.egg/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
        1    0.000    0.000    0.059    0.059 /p/home/jusers/sestini1/shared/hackaton_code/vtk_robot/project_module/project_main.py:71(project_3Dshape)
        1    0.000    0.000    0.060    0.060 {built-in method builtins.exec}
      159    0.000    0.000    0.000    0.000 {method 'SetPoint' of 'vtkmodules.vtkCommonCore.vtkPoints' objects}
      159    0.000    0.000    0.000    0.000 {method 'InsertCellPoint' of 'vtkmodules.vtkCommonDataModel.vtkCellArray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'GetActiveCamera' of 'vtkmodules.vtkRenderingCore.vtkRenderer' objects}
        1    0.000    0.000    0.000    0.000 {method 'SetPosition' of 'vtkmodules.vtkRenderingCore.vtkCamera' objects}
        1    0.000    0.000    0.000    0.000 /p/home/jusers/sestini1/juwels/shared/envs/hack_env/lib/python3.8/site-packages/vtkmodules/util/numpy_support.py:201(vtk_to_numpy)
        1    0.000    0.000    0.000    0.000 {method 'SetMatrix' of 'vtkmodules.vtkCommonTransforms.vtkTransform' objects}
        2    0.000    0.000    0.000    0.000 /p/software/juwelsbooster/stages/2020/software/SciPy-Stack/2020-gcccoremkl-9.3.0-2020.2.254-Python-3.8.5/lib/python3.8/site-packages/numpy-1.19.1-py3.8-linux-x86_64.egg/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
        2    0.000    0.000    0.000    0.000 /p/home/jusers/sestini1/juwels/shared/envs/hack_env/lib/python3.8/site-packages/vtkmodules/util/numpy_support.py:73(get_vtk_to_numpy_typemap)
