Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.061    0.020    0.061    0.020 {method 'Render' of 'vtkmodules.vtkRenderingOpenGL2.vtkXOpenGLRenderWindow' objects}
        2    0.029    0.014    0.074    0.037 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/vtk_render.py:119(project_3Dshape)
        2    0.020    0.010    0.020    0.010 {method 'Update' of 'vtkmodules.vtkCommonExecutionModel.vtkAlgorithm' objects}
        1    0.013    0.013    0.021    0.021 /home/lucas/atlas_work/code/hackaton_profile/scripts/utilities.py:7(combine_left_right)
        4    0.012    0.003    0.012    0.003 {method 'repeat' of 'numpy.ndarray' objects}
       10    0.009    0.001    0.009    0.001 {method 'reduce' of 'numpy.ufunc' objects}
1832/1069    0.008    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.005    0.005    0.005    0.005 {method 'encode_to_file' of 'ImagingEncoder' objects}
     2433    0.003    0.000    0.003    0.000 {built-in method numpy.array}
        1    0.003    0.003    0.192    0.192 <string>:1(<module>)
      329    0.003    0.000    0.010    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:5(rotation_matrix)
       17    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.002    0.001    0.002    0.001 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
       17    0.001    0.000    0.001    0.000 {method 'Update' of 'vtkmodules.vtkRenderingCore.vtkPolyDataMapper' objects}
      544    0.001    0.000    0.001    0.000 {method 'read_full_tag' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
      329    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:824(outer)
       16    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      329    0.001    0.000    0.002    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:29(unit_vector)
      330    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/lib/twodim_base.py:152(eye)
        8    0.001    0.000    0.016    0.002 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/robot_model.py:120(computeCircArc)
      328    0.000    0.000    0.004    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:48(rotate)
       25    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1452(cross)
        1    0.000    0.000    0.003    0.003 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/scipy/io/matlab/mio5.py:254(get_variables)
