Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2433    0.003    0.000    0.003    0.000 {built-in method numpy.array}
1832/1069    0.008    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1386    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
1113/1082    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      988    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      794    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      769    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      718    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_asarray.py:14(asarray)
      676    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_asarray.py:86(asanyarray)
      581    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:233(__next)
      551    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      545    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      544    0.001    0.000    0.001    0.000 {method 'read_full_tag' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
      541    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      524    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:254(get)
  378/340    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      374    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      344    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(concatenate)
      344    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/multiarray.py:143(concatenate)
      339    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
      339    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      339    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/multiarray.py:706(dot)
      330    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/lib/twodim_base.py:152(eye)
      329    0.003    0.000    0.010    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:5(rotation_matrix)
      329    0.001    0.000    0.002    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:29(unit_vector)
      329    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(outer)
      329    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:820(_outer_dispatcher)
      329    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:824(outer)
      329    0.000    0.000    0.002    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:2084(identity)
      329    0.000    0.000    0.000    0.000 {built-in method math.cos}
      329    0.000    0.000    0.000    0.000 {built-in method math.sin}
      329    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      328    0.000    0.000    0.000    0.000 {method 'InsertCellPoint' of 'vtkmodules.vtkCommonDataModel.vtkCellArray' objects}
      328    0.000    0.000    0.000    0.000 {method 'SetPoint' of 'vtkmodules.vtkCommonCore.vtkPoints' objects}
